0.000,41
0.001,42
0.002,42
0.003,43
0.004,43
0.005,43
0.006,43
0.007,43
0.008,43
0.009,42
0.010,42
0.011,42
0.012,41
0.013,41
0.014,41
0.015,41
0.016,41
0.017,41
0.018,42
0.019,42
0.020,43
0.021,43
0.022,44
0.023,44
0.024,45
0.025,44
0.026,44
0.027,44
0.028,44
0.029,43
0.030,43
0.031,42
0.032,42
0.033,42
0.034,42
0.035,41
0.036,41
0.037,41
0.038,41
0.039,41
0.040,41
0.041,41
0.042,41
0.043,40
0.044,40
0.045,40
0.046,41
0.047,42
0.048,43
0.049,43
0.050,43
0.051,44
0.052,43
0.053,43
0.054,42
0.055,42
0.056,41
0.057,41
0.058,41
0.059,41
0.060,41
0.061,40
0.062,40
0.063,40
0.064,39
0.065,39
0.066,39
0.067,39
0.068,39
0.069,39
0.070,39
0.071,40
0.072,40
0.073,41
0.074,42
0.075,44
0.076,46
0.077,46
0.078,48
0.079,49
0.080,49
0.081,50
0.082,50
0.083,50
0.084,50
0.085,50
0.086,49
0.087,49
0.088,49
0.089,48
0.090,48
0.091,48
0.092,47
0.093,47
0.094,47
0.095,47
0.096,48
0.097,49
0.098,50
0.099,52
0.100,52
0.101,54
0.102,54
0.103,55
0.104,55
0.105,54
0.106,54
0.107,54
0.108,54
0.109,55
0.110,57
0.111,59
0.112,61
0.113,62
0.114,62
0.115,61
0.116,61
0.117,62
0.118,63
0.119,64
0.120,66
0.121,68
0.122,70
0.123,71
0.124,73
0.125,75
0.126,75
0.127,75
0.128,75
0.129,75
0.130,76
0.131,79
0.132,83
0.133,86
0.134,89
0.135,90
0.136,92
0.137,91
0.138,90
0.139,91
0.140,92
0.141,93
0.142,96
0.143,100
0.144,105
0.145,109
0.146,111
0.147,111
0.148,110
0.149,109
0.150,108
0.151,108
0.152,109
0.153,110
0.154,109
0.155,108
0.156,108
0.157,111
0.158,114
0.159,120
0.160,126
0.161,129
0.162,130
0.163,129
0.164,128
0.165,127
0.166,126
0.167,124
0.168,123
0.169,121
0.170,120
0.171,120
0.172,120
0.173,119
0.174,118
0.175,121
0.176,123
0.177,125
0.178,127
0.179,130
0.180,134
0.181,138
0.182,140
0.183,140
0.184,139
0.185,138
0.186,136
0.187,135
0.188,133
0.189,132
0.190,132
0.191,133
0.192,132
0.193,132
0.194,132
0.195,130
0.196,129
0.197,128
0.198,126
0.199,124
0.200,123
0.201,122
0.202,120
0.203,119
0.204,117
0.205,116
0.206,116
0.207,118
0.208,124
0.209,132
0.210,137
0.211,138
0.212,138
0.213,136
0.214,135
0.215,135
0.216,135
0.217,135
0.218,136
0.219,135
0.220,133
0.221,131
0.222,130
0.223,129
0.224,129
0.225,128
0.226,128
0.227,130
0.228,134
0.229,140
0.230,146
0.231,149
0.232,149
0.233,148
0.234,145
0.235,145
0.236,144
0.237,145
0.238,148
0.239,147
0.240,148
0.241,153
0.242,161
0.243,168
0.244,173
0.245,173
0.246,173
0.247,175
0.248,181
0.249,188
0.250,195
0.251,200
0.252,198
0.253,195
0.254,195
0.255,193
0.256,194
0.257,203
0.258,216
0.259,224
0.260,226
0.261,226
0.262,226
0.263,223
0.264,220
0.265,220
0.266,224
0.267,232
0.268,239
0.269,238
0.270,235
0.271,232
0.272,231
0.273,231
0.274,233
0.275,236
0.276,237
0.277,237
0.278,239
0.279,244
0.280,250
0.281,256
0.282,256
0.283,254
0.284,250
0.285,250
0.286,251
0.287,248
0.288,249
0.289,252
